"from","to","num_members","Government","Opposition","Church","Expert","weight"
"ORG02467","ORG02467",6,2,3,0,1,1
"ORG02467","ORG02308",1,1,0,0,0,1
"ORG02467","ORG01251",2,0,2,0,0,1
"ORG02467","ORG01497",1,0,1,0,0,1
"ORG02467","ORG00560",1,0,1,0,0,1
"ORG02467","ORG00910",1,0,0,0,1,1
"ORG02467","ORG00444",1,0,1,0,0,1
"ORG02467","ORG02216",1,0,1,0,0,1
"ORG02467","ORG01768",1,0,1,0,0,1
"ORG02467","ORG02397",1,0,1,0,0,1
"ORG02467","ORG00219",1,0,1,0,0,1
"ORG02467","ORG01939",4,1,3,0,0,1
"ORG02467","ORG02469",1,0,1,0,0,1
"ORG02467","ORG02439",1,0,1,0,0,1
"ORG02467","ORG00172",1,0,1,0,0,1
"ORG02467","ORG00709",1,0,1,0,0,1
"ORG02467","ORG01978",1,1,0,0,0,1
"ORG02467","ORG00521",1,0,1,0,0,1
"ORG02467","ORG00004",1,0,1,0,0,1
"ORG02467","ORG00170",1,0,1,0,0,1
"ORG02467","ORG02406",3,1,2,0,0,1
"ORG02467","ORG02398",1,0,1,0,0,1
"ORG02467","ORG00211",1,0,1,0,0,1
"ORG02467","ORG00563",1,1,0,0,0,1
"ORG02467","ORG00222",1,1,0,0,0,1
"ORG02467","ORG01678",1,1,0,0,0,1
"ORG02467","ORG01247",1,1,0,0,0,1
"ORG02467","ORG00148",1,1,0,0,0,1
"ORG02467","ORG01990",1,1,0,0,0,1
"ORG02467","ORG01988",1,1,0,0,0,1
"ORG02467","ORG01128",1,1,0,0,0,1
"ORG02467","ORG01981",1,1,0,0,0,1
"ORG02467","ORG01982",1,1,0,0,0,1
"ORG02467","ORG00209",1,1,0,0,0,1
"ORG02467","ORG02020",1,1,0,0,0,1
"ORG02467","ORG01125",1,1,0,0,0,1
"ORG02467","ORG01129",1,1,0,0,0,1
"ORG02467","ORG01124",1,1,0,0,0,1
"ORG02467","ORG00239",1,1,0,0,0,1
"ORG02467","ORG02069",1,1,0,0,0,1
"ORG02467","ORG01992",1,1,0,0,0,1
"ORG02467","ORG01127",1,1,0,0,0,1
"ORG02467","ORG01993",1,1,0,0,0,1
"ORG02467","ORG01545",1,1,0,0,0,1
