Org.ID,Organization.Name,Umbrella,Subgroup,Type,Category,Alternate.Names,Umbrella.Name
ORG00001,Appeal by the 101 to the CSCE Madrid Meeting,A101,,Protest Statement,Event,NA,Appeal by the 101 to the CSCE Madrid Meeting
ORG00002,Appeal by the 64,A64,,Protest Statement,Event,NA,Appeal by the 64
ORG00003,Appeal by the 77 to the Congress of Intellectuals in Warsaw,A77,,Protest Statement,Event,NA,Appeal by the 77 to the Congress of Intellectuals in Warsaw
ORG00004,Artistic Architectural Curatorial Commission for Metropolitan Warsaw,AACCW,,Government Agency Regional or Local,Organization,NA,Artistic Architectural Curatorial Commission for Metropolitan Warsaw
ORG00005,Appeal by the Agreement Committee of the Initiative for Self-Determination of the Nation to conduct free elections to the Sejm,AACIS,,Protest Statement,Event,NA,Appeal by the Agreement Committee of the Initiative for Self-Determination of the Nation to conduct free elections to the Sejm
ORG00006,Association of Academic Catholic Youth,AACY,,Independent Society,Organization,NA,Association of Academic Catholic Youth
ORG00007,Association of Art Historians,AAH,,National Professional Association,Organization,NA,Association of Art Historians
ORG00008,Archive of Modern Records,AAN,,Research Institute,Organization,NA,Archive of Modern Records
ORG00009,Association of Activists for Self-Governing Workers,AASGW,,Independent Society,Organization,NA,Association of Activists for Self-Governing Workers
ORG00010,"Academic Association ""Verbum""",AAV,,Independent Society,Organization,NA,"Academic Association ""Verbum"""
ORG00011,Archbishops Committee for Assistance to Prisoners and Internees,ACAP,,Charitable or Humanitarian Organization,Organization,NA,Archbishops Committee for Assistance to Prisoners and Internees
ORG00012,Archbishops Charitable Committee,ACC,,Charitable or Humanitarian Organization,Organization,NA,Archbishops Charitable Committee
ORG00013,Agricultural Construction Equipment and Transport Company Lublin,ACETCL,,Factory,Organization,Przedsiębiorstwie Sprzętowo-Transportowym Budownictwa Rolniczego w Lublinie,Agricultural Construction Equipment and Transport Company Lublin
ORG00014,Alpine Club Polish Tatra Society,ACPT,,National Professional Association,Organization,NA,Alpine Club Polish Tatra Society
ORG00015,Audit Commission Solidarność Gdańsk University,ACUG,,Opposition Group,Organization,NA,Audit Commission Solidarność Gdańsk University
ORG00016,"Association of Catholic Youth ""Revival""",ACYR,,Independent Society,Organization,NA,"Association of Catholic Youth ""Revival"""
ORG00017,Advisor to PZPR First Secretary Gierek,AD1S,,Government Leadership Body National,Organization,NA,Advisor to PZPR First Secretary Gierek
ORG00018,Academy of Diplomacy in Moscow,ADM,,Postsecondary School,Organization,Akademie Dyplomatycznych w Moskwie,Academy of Diplomacy in Moscow
ORG00019,August Days of Prayer and Reflection in Gdansk churches,ADPR,,Charitable or Humanitarian Organization,Organization,August Days of Prayer and Reflection in Gdańsk churches,August Days of Prayer and Reflection in Gdansk churches
ORG00020,Association for the Defense of the Tatr Mountains,ADTM,,Independent Society,Organization,NA,Association for the Defense of the Tatr Mountains
ORG00021,Association of European Culture,AEC,,National Professional Association,Organization,NA,Association of European Culture
ORG00022,Apena Electrical Apparatus Factory Bielska-Biały,AEFAC,,Factory,Organization,NA,Apena Electrical Apparatus Factory Bielska-Biały
ORG00023,Academy of Economics Katowice,AEK,,Postsecondary School,Organization,College of Economics – in Katowice? ; Higher School of Economics Katowice ; College of Economics,Academy of Economics Katowice
ORG00024,Association of Engineers and Technicians of the Water and Land Reclamation,AETWL,,National Professional Association,Organization,NA,Association of Engineers and Technicians of the Water and Land Reclamation
ORG00025,Academy of Economics Wroclaw,AEW,,Postsecondary School,Organization,NA,Academy of Economics Wroclaw
ORG00026,Academy of Fine Arts Krakow,AFAK,,Postsecondary School,Organization,NA,Academy of Fine Arts Krakow
ORG00027,Academy of Fine Arts Warsaw,AFAW,,Postsecondary School,Organization,NA,Academy of Fine Arts Warsaw
ORG00028,Artificial Fibers Factory Gorzów Wielkopolska,AFFG,,Factory,Organization,NA,Artificial Fibers Factory Gorzów Wielkopolska
ORG00029,Agricultural Foundation Organizing Committee,AFOC,,Independent Society,Organization,NA,Agricultural Foundation Organizing Committee
ORG00030,Association of the Free University of Poland,AFUP,,Independent Society,Organization,NA,Association of the Free University of Poland
ORG00031,Agreement of Brown Coal Mines,AGBC,,Political Agreement,Event,NA,Agreement of Brown Coal Mines
ORG00032,Agricultural Combine Oleśnica,AgCom,Oles,Factory,Organization,NA,Agricultural Combine Oleśnica
ORG00033,AGH Kraków,AGH,,Postsecondary School,Organization,Akademia Górniczo-Hutnicza im. Stanisława Staszica,AGH Kraków
ORG00034,AGH Kraków Department of Mining Engineering,AGH,DME,Postsecondary School,Organization,NA,AGH Kraków
ORG00035,AGH Kraków Department of Organization and Management,AGH,DOM,Postsecondary School,Organization,NA,AGH Kraków
ORG00036,AGH Kraków Faculty of Mining Mechanization and Metallurgy,AGH,FMMM,Postsecondary School,Organization,NA,AGH Kraków
ORG00037,AGH Krakow Faculty of Ceramics,AGH,FoC,Postsecondary School,Organization,NA,AGH Kraków
ORG00038,AGH Krakow Faculty of Geologic Exploration,AGH,FoGP,Postsecondary School,Organization,NA,AGH Kraków
ORG00039,AGH Kraków Faculty of Metallurgy,AGH,FoM,Postsecondary School,Organization,NA,AGH Kraków
ORG00040,AGH Kraków Faculty of Mining,AGH,FOM,Postsecondary School,Organization,NA,AGH Kraków
ORG00041,AGH Kraków Faculty of Metallurgy Department of Heat and Fuel Technology,AGH,FoMDHFT,Postsecondary School,Organization,NA,AGH Kraków
ORG00042,AGH Kraków Faculty of Metallurgy Department of Pig Iron Metallurgy,AGH,FOMDPIM,Postsecondary School,Organization,NA,AGH Kraków
ORG00043,AGH Kraków Faculty of Mechanical Engineering,AGH,FOME,Research Institute,Organization,NA,AGH Kraków
ORG00044,AGH Kraków Faculty of Metallurgy Institute of Metallurgy,AGH,FOMIM,Research Institute,Organization,NA,AGH Kraków
ORG00045,AGH Kraków Institute of Energy Resources,AGH,IER,Research Institute,Organization,NA,AGH Kraków
ORG00046,AGH Kraków Institute of Geomechanical Mining,AGH,IGM,Postsecondary School,Organization,NA,AGH Kraków
ORG00047,AGH Kraków Publishing House,AGH,PUB,Publishing House,Organization,NA,AGH Kraków
ORG00048,AGH Faculty of Electrical Engineering for Mining,AGH,W,Postsecondary School,Organization,NA,AGH Kraków
ORG00049,AGH Faculty of Organization and Management,AGH,WOZ,Postsecondary School,Organization,NA,AGH Kraków
ORG00050,Agreement of Independent Scouting Societies and Organizations,AGIS,,Protest Statement,Event,NA,Agreement of Independent Scouting Societies and Organizations
ORG00051,"Association ""Hospicjum""",AH,,PRL NGO,Organization,NA,"Association ""Hospicjum"""
ORG00052,Association Internationale des Artes Plastiques,AIAP,,International Professional Association,Organization,NA,Association Internationale des Artes Plastiques
ORG00053,International Association of Art Critics,AICA,,International Professional Association,Organization,NA,International Association of Art Critics
ORG00054,Attorneys Joint Office No. 1 in Wodzisław Słąski,AJO1,,Legal Office,Organization,NA,Attorneys Joint Office No. 1 in Wodzisław Słąski
ORG00055,Home Army,AK,,Paramilitary Group,Organization,NA,Home Army
ORG00056,Akcja Gospodarczej,AKG,,Protest Statement,Event,NA,Akcja Gospodarczej
ORG00057,Army Medical Academy,AMA,,Medical Facility,Organization,NA,Army Medical Academy
ORG00058,American Arbitration Association,AmAbAs,,International Professional Association,Organization,NA,American Arbitration Association
ORG00059,Andrzej Małkowski Circle of Scouting Instructors,AMCS,,Salon,Organization,NA,Andrzej Małkowski Circle of Scouting Instructors
ORG00060,American Philosophical Association,AMPA,,International Professional Association,Organization,NA,American Philosophical Association
ORG00061,American Public Health Association,AMPH,,International Professional Association,Organization,NA,American Public Health Association
ORG00062,Adam Mickiewicz University,AMU,,Postsecondary School,Organization,Uniwersytet im. Adama Mickiewicza w Poznaniu (UAM),Adam Mickiewicz University
ORG00063,Adam Mickiewicz University Faculty of Biology Department of General Zoology,AMU,FBGZ,Postsecondary School,Organization,NA,Adam Mickiewicz University
ORG00064,Adam Mickiewicz University Faculty of Biology and Earth Sciences,AMU,FBiNZ,Postsecondary School,Organization,NA,Adam Mickiewicz University
ORG00065,Adam Mickiewicz University Faculty of Biology Department of Nature Conservation,AMU,FBNC,Postsecondary School,Organization,NA,Adam Mickiewicz University
ORG00066,Adam Mickiewicz University Faculty of History and Philosophy,AMU,FHP,Postsecondary School,Organization,NA,Adam Mickiewicz University
ORG00067,Adam Mickiewicz University Faculty of Law and Administration,AMU,FLA,Postsecondary School,Organization,NA,Adam Mickiewicz University
ORG00068,Adam Mickiewicz University Faculty of Law and Administration Department of Administrative Law,AMU,FLADAL,Postsecondary School,Organization,NA,Adam Mickiewicz University
ORG00069,Adam Mickiewicz University Faculty of Law and Administration Department of Administrative Procedure,AMU,FLADAP,Postsecondary School,Organization,NA,Adam Mickiewicz University
ORG00070,Adam Mickiewicz University Faculty of Law and Administration Department of Labor Law,AMU,FLDPP,Postsecondary School,Organization,NA,Adam Mickiewicz University
ORG00071,Adam Mickiewicz University Faculty of Humanities,AMU,FoHU,Postsecondary School,Organization,NA,Adam Mickiewicz University
ORG00072,Adam Mickiewicz University Faculty of Polish Philology,AMU,FPP,Postsecondary School,Organization,NA,Adam Mickiewicz University
ORG00073,Adam Mickiewicz University Faculty of Social Sciences Institute of Sociology,AMU,FSSIS,Postsecondary School,Organization,NA,Adam Mickiewicz University
ORG00074,Adam Mickiewicz University Institute of Art History,AMU,IAH,Postsecondary School,Organization,NA,Adam Mickiewicz University
ORG00075,Adam Mickiewicz University Institute of Biology,AMU,IB,Postsecondary School,Organization,NA,Adam Mickiewicz University
ORG00076,Adam Mickiewicz University Institute English Philology,AMU,IEP,Postsecondary School,Organization,NA,Adam Mickiewicz University
ORG00077,Adam Mickiewicz University Institute of Political Science,AMU,INP,Postsecondary School,Organization,NA,Adam Mickiewicz University
ORG00078,Adam Mickiewicz University Rector,AMU,Rekt,Postsecondary School,Organization,NA,Adam Mickiewicz University
ORG00079,"""ANEKS""",ANEKS,,Periodical,Organization,NA,"""ANEKS"""
ORG00080,French Academy of Medicine,ANM,,International Professional Association,Organization,Académie Nationale de Médecine,French Academy of Medicine
ORG00081,Academy of Social Sciences Institute of Workers' Class Research,ANS,INKR,Research Institute,Organization,NA,Academy of Social Sciences Institute of Workers' Class Research
ORG00082,Academy of Trade in Poznań,AOT,,Postsecondary School,Organization,NA,Academy of Trade in Poznań
ORG00083,Association PAX,APAX,,Political Party,Mass Organization,NA,Association PAX
ORG00084,Association PAX Main Board,APAX,GZ,Political Party Leadership Body National,Organization,NA,Association PAX
ORG00085,Association PAX Publishing Institute,APAX,IW,Political Party Leadership Body National,Organization,NA,Association PAX
ORG00086,Association PAX Presidium,APAX,Pres,Political Party Leadership Body National,Organization,Associatoin PAX Presidium,Association PAX
ORG00087,Academic Pastoral Care,APC,,Charitable or Humanitarian Organization,Organization,NA,Academic Pastoral Care
ORG00088,All-Poland Coordinating Committee of Artistic and Scientific Associations,APCC,,Independent Society,Organization,NA,All-Poland Coordinating Committee of Artistic and Scientific Associations
ORG00089,Agricultural Production Cooperative Łubnica,APCL,,Factory,Organization,NA,Agricultural Production Cooperative Łubnica
ORG00090,Association of Polish Consultants,APCON,,National Professional Association,Organization,NA,Association of Polish Consultants
ORG00091,Agricultural Production Cooperative świerczyna,APCś,,Factory,Organization,NA,Agricultural Production Cooperative świerczyna
ORG00092,Association for Pediatric Education in Europe,APEEur,,International Professional Association,Organization,NA,Association for Pediatric Education in Europe
ORG00093,Academy of Physical Education Warsaw,APEW,,Postsecondary School,Organization,NA,Academy of Physical Education Warsaw
ORG00094,American Physical Society,APhySoc,,International Professional Association,Organization,NA,American Physical Society
ORG00095,Press and Information Agency,API,,Periodical,Organization,NA,Press and Information Agency
ORG00096,Association of Private Metalworkers,APM,,National Professional Association,Organization,NA,Association of Private Metalworkers
ORG00097,American Psychological Association,APsA,,International Professional Association,Organization,NA,American Psychological Association
ORG00098,Action Program for Solidarność Underground Structures,APSU,,Protest Statement,Event,NA,Action Program for Solidarność Underground Structures
ORG00099,"""Ar""",AR,,Periodical,Organization,NA,"""Ar"""
ORG00100,"""Arbeiterstimme""",ARBME,,Periodical,Organization,NA,"""Arbeiterstimme"""
ORG00101,"""Archiwum Hutnika""",ArchHut,,Periodical,Organization,NA,"""Archiwum Hutnika"""
ORG00102,State Archives,ArchP,,Research Institute,Organization,NA,State Archives
ORG00103,Discussion Club Arka,ARKA,,Salon,Organization,NA,Discussion Club Arka
ORG00104,Szczecin Agricultural Academy,ARS,,Postsecondary School,Organization,NA,Szczecin Agricultural Academy
ORG00105,Szczecin Agricultural University Faculty of Zoological Technology,ARS,FoZ,Postsecondary School,Organization,NA,Szczecin Agricultural Academy
ORG00106,Szczecin Agricultural Academy Faculty of Animal Production,ARS,FOZ,Postsecondary School,Organization,Akademi Rolniczej w Szczecinie Wydzial Zootechniki ; Szcecin Agricultural Academy Faculty of Animal Production,Szczecin Agricultural Academy
ORG00107,Art Clinic Pomeranian Military District in Bydgoszcz,ARTC,,Research Institute,Organization,NA,Art Clinic Pomeranian Military District in Bydgoszcz
ORG00108,Association for Scientific Authors,ASA,,National Professional Association,Organization,NA,Association for Scientific Authors
ORG00109,Appeal to the Society and the Authorities in the PRL,ASAPRL,,Protest Statement,Event,NA,Appeal to the Society and the Authorities in the PRL
ORG00110,Association of Silesian Church Helpers,ASCH,,Independent Society,Organization,NA,Association of Silesian Church Helpers
ORG00111,Academy of Internal Affairs,ASW,,Postsecondary School,Organization,NA,Academy of Internal Affairs
ORG00112,Agricultural Trade Office Olsztyn,ATOOl,,Factory,Organization,NA,Agricultural Trade Office Olsztyn
ORG00113,Jan and Jędrzej Śniadecki University of Technology and Agriculture,ATRJJS,,Postsecondary School,Organization,NA,Jan and Jędrzej Śniadecki University of Technology and Agriculture
ORG00114,Appeal to the US Government to Drop Sanctions,AUSDS,,Protest Statement,Event,NA,Appeal to the US Government to Drop Sanctions
ORG00115,Advocate Group Nr 1 Gorzów Wielkopolska,AVG1,,Legal Office,Organization,NA,Advocate Group Nr 1 Gorzów Wielkopolska
ORG00116,Auxiliary Foundation for the Rural Water Supply,AXFRW,,Government Agency Regional or Local,Organization,NA,Auxiliary Foundation for the Rural Water Supply
ORG00117,University Sports Association,AZS,,PRL NGO,Organization,NA,University Sports Association
ORG00118,"""Blue Fourteen"" Scout Troop Warsaw",B14S,,Scouting Organization,Organization,NA,"""Blue Fourteen"" Scout Troop Warsaw"
ORG00119,Bar Association Kraków,BAKr,,Legal Office,Organization,NA,Bar Association Kraków
